name,age,country,value,position,season,team
James Trafford,22,England,€18.00m,Goalkeeper,2024,fc-burnley
Etienne Green,24,"England, France",€700k,Goalkeeper,2024,fc-burnley
Vaclav Hladky,34,Czech Republic,€400k,Goalkeeper,2024,fc-burnley
Maxime Estève,22,France,€9.00m,Centre-Back,2024,fc-burnley
Jordan Beyer,24,Germany,€9.00m,Centre-Back,2024,fc-burnley
Hjalmar Ekdal,26,Sweden,€7.00m,Centre-Back,2024,fc-burnley
Joe Worrall,27,England,€5.50m,Centre-Back,2024,fc-burnley
Bashir Humphreys,21,"England, Uganda",€4.80m,Centre-Back,2024,fc-burnley
Hannes Delcroix,25,"Belgium, Haiti",€4.00m,Centre-Back,2024,fc-burnley
John Egan,32,Ireland,€2.00m,Centre-Back,2024,fc-burnley
CJ Egan-Riley,21,"England, Ireland",€1.50m,Centre-Back,2024,fc-burnley
Lucas Pires,23,Brazil,€2.00m,Left-Back,2024,fc-burnley
Connor Roberts,29,Wales,€6.00m,Right-Back,2024,fc-burnley
Shurandy Sambo,23,"Netherlands, Curacao",€2.00m,Right-Back,2024,fc-burnley
Josh Cullen,28,"Ireland, England",€8.00m,Defensive Midfield,2024,fc-burnley
Han-Noah Massengo,23,"France, Congo",€3.00m,Defensive Midfield,2024,fc-burnley
Josh Brownhill,28,England,€13.00m,Central Midfield,2024,fc-burnley
Josh Laurent,29,England,€2.00m,Central Midfield,2024,fc-burnley
Aaron Ramsey,21,England,€13.00m,Attacking Midfield,2024,fc-burnley
Hannibal,21,"Tunisia, France",€9.00m,Attacking Midfield,2024,fc-burnley
Zian Flemming,26,Netherlands,€4.20m,Attacking Midfield,2024,fc-burnley
Mike Trésor,25,"Belgium, Burundi",€11.00m,Left Winger,2024,fc-burnley
Jeremy Sarmiento,22,"Ecuador, England",€7.00m,Left Winger,2024,fc-burnley
Jaidon Anthony,24,"England, Jamaica",€6.00m,Left Winger,2024,fc-burnley
Luca Koleosho,20,"Italy, United States",€12.00m,Right Winger,2024,fc-burnley
Benson Manuel,27,"Angola, Belgium",€5.00m,Right Winger,2024,fc-burnley
Nathan Redmond,30,"England, Jamaica",€5.00m,Right Winger,2024,fc-burnley
Enock Agyei,19,"Belgium, Ghana",€800k,Right Winger,2024,fc-burnley
Lyle Foster,24,South Africa,€13.00m,Centre-Forward,2024,fc-burnley
Andreas Hountondji,22,"Benin, France",€2.80m,Centre-Forward,2024,fc-burnley
Jay Rodríguez,35,"England, Spain",€800k,Centre-Forward,2024,fc-burnley
Illan Meslier,24,France,€18.00m,Goalkeeper,2024,leeds-united
Karl Darlow,34,"Wales, England",€300k,Goalkeeper,2024,leeds-united
Alex Cairns,31,England,€175k,Goalkeeper,2024,leeds-united
Pascal Struijk,25,"Netherlands, Belgium",€15.00m,Centre-Back,2024,leeds-united
Maximilian Wöber,26,Austria,€10.00m,Centre-Back,2024,leeds-united
Joe Rodon,27,Wales,€8.00m,Centre-Back,2024,leeds-united
Junior Firpo,28,"Dominican Republic, Spain",€5.00m,Left-Back,2024,leeds-united
Isaac Schmidt,24,"Switzerland, Nigeria",€2.20m,Left-Back,2024,leeds-united
Jayden Bogle,24,England,€5.00m,Right-Back,2024,leeds-united
Sam Byram,31,England,€1.00m,Right-Back,2024,leeds-united
Ethan Ampadu,24,"Wales, England",€16.00m,Defensive Midfield,2024,leeds-united
Ilia Gruev,24,"Bulgaria, Germany",€5.00m,Defensive Midfield,2024,leeds-united
Josuha Guilavogui,34,"France, Guinea",€500k,Defensive Midfield,2024,leeds-united
Ao Tanaka,26,Japan,€4.00m,Central Midfield,2024,leeds-united
Joe Rothwell,29,England,€2.20m,Central Midfield,2024,leeds-united
Brenden Aaronson,24,United States,€11.00m,Attacking Midfield,2024,leeds-united
Manor Solomon,25,"Israel, Portugal",€11.00m,Left Winger,2024,leeds-united
Largie Ramazani,23,"Belgium, Burundi",€6.00m,Left Winger,2024,leeds-united
Wilfried Gnonto,21,"Italy, Cote d'Ivoire",€16.00m,Right Winger,2024,leeds-united
Daniel James,27,"Wales, England",€14.00m,Right Winger,2024,leeds-united
Joël Piroe,25,"Netherlands, Suriname",€14.00m,Centre-Forward,2024,leeds-united
Patrick Bamford,31,"England, Ireland",€4.00m,Centre-Forward,2024,leeds-united
Joe Gelhardt,22,England,€4.00m,Centre-Forward,2024,leeds-united
Mateo Joseph,21,"Spain, England",€1.20m,Centre-Forward,2024,leeds-united
Thomas Kaminski,32,"Belgium, Poland",€2.50m,Goalkeeper,2024,luton-town
Tim Krul,36,Netherlands,€500k,Goalkeeper,2024,luton-town
James Shea,33,"England, Ireland",€200k,Goalkeeper,2024,luton-town
Teden Mengi,22,"England, Angola",€11.00m,Centre-Back,2024,luton-town
Mark McGuinness,23,"Ireland, England",€9.00m,Centre-Back,2024,luton-town
