name,age,country,value,position,season,team
Bailey Peacock-Farrell,28.0,"Northern Ireland, England",€1.20m,Goalkeeper,2024,birmingham-city
Ryan Allsop,32.0,England,€1.00m,Goalkeeper,2024,birmingham-city
Bradley Mayo,20.0,England,€50k,Goalkeeper,2024,birmingham-city
Dion Sanderson,24.0,England,€3.20m,Centre-Back,2024,birmingham-city
Christoph Klarer,24.0,Austria,€3.00m,Centre-Back,2024,birmingham-city
Ben Davies,29.0,England,€3.00m,Centre-Back,2024,birmingham-city
Krystian Bielik,26.0,Poland,€2.50m,Centre-Back,2024,birmingham-city
Lee Buchanan,23.0,England,€2.00m,Left-Back,2024,birmingham-city
Alex Cochrane,24.0,England,€1.50m,Left-Back,2024,birmingham-city
Ethan Laird,23.0,"England, Jamaica",€2.50m,Right-Back,2024,birmingham-city
Alfons Sampsted,26.0,Iceland,€2.30m,Right-Back,2024,birmingham-city
Tomoki Iwata,27.0,Japan,€1.20m,Defensive Midfield,2024,birmingham-city
Alfie Chang,22.0,England,€350k,Defensive Midfield,2024,birmingham-city
Taylor Gardner-Hickman,22.0,"England, Ireland",€2.50m,Central Midfield,2024,birmingham-city
Seung-ho Paik,27.0,"Korea, South",€1.00m,Central Midfield,2024,birmingham-city
Marc Leonard,22.0,Scotland,€450k,Central Midfield,2024,birmingham-city
Brandon Khela,19.0,"England, India",€200k,Central Midfield,2024,birmingham-city
Willum Thór Willumsson,26.0,Iceland,€3.00m,Attacking Midfield,2024,birmingham-city
Luke Harris,19.0,"Wales, Jersey",€1.00m,Attacking Midfield,2024,birmingham-city
Emil Hansson,26.0,"Sweden, Norway",€1.50m,Left Winger,2024,birmingham-city
Ayumu Yokoyama,21.0,Japan,€600k,Left Winger,2024,birmingham-city
Keshi Anderson,29.0,"England, Nigeria",€300k,Left Winger,2024,birmingham-city
Scott Wright,27.0,Scotland,€1.20m,Right Winger,2024,birmingham-city
Jay Stansfield,22.0,England,€3.50m,Centre-Forward,2024,birmingham-city
Lyndon Dykes,29.0,"Scotland, Australia",€2.00m,Centre-Forward,2024,birmingham-city
Alfie May,31.0,England,€300k,Centre-Forward,2024,birmingham-city
Lukas Jutkiewicz,35.0,England,€250k,Centre-Forward,2024,birmingham-city
Lee Nicholls,32.0,England,€900k,Goalkeeper,2024,huddersfield-town
Chris Maxwell,34.0,"Wales, Scotland",€250k,Goalkeeper,2024,huddersfield-town
Jacob Chapman,24.0,Australia,€100k,Goalkeeper,2024,huddersfield-town
Michal Helik,29.0,Poland,€2.20m,Centre-Back,2024,huddersfield-town
Matty Pearson,31.0,England,€1.20m,Centre-Back,2024,huddersfield-town
Nigel Lonwijk,22.0,"Netherlands, Suriname",€1.00m,Centre-Back,2024,huddersfield-town
Radinio Balker,26.0,"Suriname, Netherlands",€800k,Centre-Back,2024,huddersfield-town
