player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Brenden Aaronson,USA,Leeds United,24,Midfielder,1452.0,16.133333333333333,4.958677685950414,0.06198347107438017,1.2396694214876034,0.24793388429752067,1.5867768595041323,3.9669421487603307,0.30991735537190085,22.1900826446281,25.59917355371901,1.6735537190082646,1.9834710743801653,6.880165289256198,0.9917355371900827,1.7913223140495866,2.293388429752066,1.797520661157025,0.12396694214876033,3.65702479338843
Elijah Adebayo,ENG,Luton Town,26,Forward,1477.0,16.41111111111111,4.4177386594448205,0.0,0.36560595802301965,0.24373730534867974,2.821259309410968,1.7670954637779281,0.18280297901150983,6.032498307379824,14.441435341909274,0.7921462423832092,0.974949221394719,4.021665538253216,0.0,2.5470548408937033,0.3046716316858497,0.4874746106973595,0.24373730534867974,2.132701421800948
Enock Agyei,BEL,Burnley,19,Forward,1354.0,15.044444444444444,5.045051698670606,0.0,0.1329394387001477,0.0,0.0,0.06646971935007386,0.0,1.1299852289512555,1.4623338257016247,0.1329394387001477,0.5317577548005908,0.7976366322008863,0.06646971935007386,1.6617429837518465,0.19940915805022158,0.2658788774002954,0.0,0.1329394387001477
Milan Aleksić,SRB,Sunderland,19,Midfielder,1060.0,11.777777777777779,5.663207547169812,0.0,0.0,0.0,8.490566037735848,0.0,0.0,0.5943396226415094,0.16981132075471697,0.0,0.16981132075471697,0.08490566037735849,0.0,0.0,0.0,0.0,0.08490566037735849,0.25471698113207547
Jamie Allen,ENG,Coventry City,29,Midfielder,475.0,5.277777777777778,16.2,0.0,0.18947368421052632,0.0,0.0,0.37894736842105264,0.0,7.768421052631579,2.463157894736842,0.0,0.0,0.37894736842105264,0.18947368421052632,9.473684210526317,0.0,0.5684210526315789,0.0,0.9473684210526316
Steven Alzate,COL,Hull City,26,Midfielder,1260.0,14.0,6.7,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.4285714285714286,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.2857142857142857
Lucas Andersen,DEN,QPR,30,Midfielder,557.0,6.188888888888889,11.342908438061041,0.0,1.4542190305206462,0.1615798922800718,4.621184919210054,4.524236983842011,0.1615798922800718,20.035906642728904,33.447037701974864,0.8078994614003591,2.1005385996409336,8.402154398563734,1.2926391382405744,12.118491921005386,8.563734290843806,2.585278276481149,0.9694793536804308,4.039497307001795
Sinclair Armstrong,IRL,Bristol City,21,Forward,1323.0,14.7,5.013605442176871,0.0,0.1360544217687075,0.20408163265306123,4.020408163265307,0.6802721088435374,0.06802721088435375,3.673469387755102,8.027210884353742,0.06802721088435375,1.2244897959183674,4.285714285714286,0.06802721088435375,0.46938775510204084,0.1360544217687075,0.1360544217687075,0.1360544217687075,0.8163265306122449
Femi Azeez,ENG,Millwall,23,Forward,732.0,8.133333333333333,6.3196721311475414,0.24590163934426232,1.4754098360655739,0.12295081967213116,5.790983606557377,2.0901639344262297,0.24590163934426232,13.032786885245903,18.565573770491806,0.49180327868852464,3.8114754098360657,6.39344262295082,0.6147540983606558,4.967213114754099,4.180327868852459,2.0901639344262297,0.36885245901639346,4.180327868852459
Lewis Baker,ENG,Blackburn,29,Forward,1406.0,15.622222222222222,5.242532005689901,0.0,0.0,0.06401137980085349,2.5604551920341394,0.19203413940256045,0.0,4.416785206258891,1.7923186344238977,0.06401137980085349,0.3840682788051209,0.3840682788051209,0.12802275960170698,4.269559032716928,0.19203413940256045,0.25604551920341395,0.25604551920341395,0.9601706970128023
