player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Brenden Aaronson,USA,Leeds United,24,2000,12.7,Midfielder,1144.0,80.6,1,16,4,24.2,53,4,298,307,22,22,84,13,32.3,27,24,1,52,12.71111111111111,6.340909090909091,0.07867132867132867,1.2587412587412588,0.3146853146853147,1.903846153846154,4.16958041958042,0.3146853146853147,23.444055944055947,24.152097902097903,1.7307692307692308,1.7307692307692308,6.608391608391609,1.0227272727272727,2.541083916083916,2.124125874125874,1.8881118881118881,0.07867132867132867,4.090909090909091
Elijah Adebayo,ENG,Luton Town,26,1998,12.2,Forward,1207.0,71.3,0,5,2,46.7,21,0,82,191,11,11,52,0,41.4,2,6,4,27,13.411111111111111,5.316487158243579,0.0,0.3728251864125932,0.14913007456503727,3.4821872410936208,1.5658657829328915,0.0,6.114333057166529,14.24192212096106,0.820215410107705,0.820215410107705,3.877381938690969,0.0,3.0869925434962715,0.14913007456503727,0.44739022369511183,0.29826014913007454,2.013256006628003
Enock Agyei,BEL,Burnley,19,2005,0.6,Forward,1099.0,75.9,0,2,0,0.0,1,0,17,22,2,8,12,1,25.0,3,4,0,2,12.21111111111111,6.215650591446771,0.0,0.1637852593266606,0.0,0.0,0.0818926296633303,0.0,1.3921747042766153,1.8016378525932668,0.1637852593266606,0.6551410373066424,0.9827115559599636,0.0818926296633303,2.0473157415832577,0.2456778889899909,0.3275705186533212,0.0,0.1637852593266606
Semi Ajayi,NGA,West Brom,31,1993,11.8,Defender,1169.0,85.6,0,1,0,33.3,8,0,389,27,1,7,1,3,61.4,1,10,10,35,12.988888888888889,6.590248075278015,0.0,0.07698887938408897,0.0,2.563729683490162,0.6159110350727117,0.0,29.94867408041061,2.078699743370402,0.07698887938408897,0.5389221556886228,0.07698887938408897,0.2309666381522669,4.727117194183062,0.07698887938408897,0.7698887938408896,0.7698887938408896,2.694610778443114
Ajibola Alese,ENG,Sunderland,23,2001,3.0,Defender,1060.0,90.1,0,1,0,0.0,1,0,67,6,0,0,0,0,66.7,1,1,0,6,11.777777777777779,7.649999999999999,0.0,0.08490566037735849,0.0,0.0,0.08490566037735849,0.0,5.688679245283018,0.5094339622641509,0.0,0.0,0.0,0.0,5.663207547169812,0.08490566037735849,0.08490566037735849,0.0,0.5094339622641509
Zeki Amdouni,SUI,Burnley,23,2000,0.4,Midfielder,990.0,84.2,0,0,1,100.0,1,1,19,7,1,1,1,0,0.0,0,1,0,3,11.0,7.654545454545455,0.0,0.0,0.09090909090909091,9.090909090909092,0.09090909090909091,0.09090909090909091,1.7272727272727273,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727
Ryan Andrews,ENG,Watford,20,2004,9.6,Defender,557.0,62.9,1,6,2,37.5,18,4,195,161,4,22,56,6,29.2,25,13,8,30,6.188888888888889,10.163375224416516,0.1615798922800718,0.9694793536804308,0.3231597845601436,6.059245960502693,2.9084380610412923,0.6463195691202872,31.508078994614003,26.01436265709156,0.6463195691202872,3.5547576301615798,9.048473967684021,0.9694793536804308,4.718132854578097,4.039497307001795,2.1005385996409336,1.2926391382405744,4.847396768402154
Jaidon Anthony,ENG,Burnley,24,1999,10.7,Forward,606.0,72.8,2,12,1,31.8,43,3,201,263,10,51,98,6,18.8,55,12,8,39,6.733333333333333,10.81188118811881,0.297029702970297,1.7821782178217822,0.1485148514851485,4.7227722772277225,6.3861386138613865,0.44554455445544555,29.85148514851485,39.05940594059406,1.4851485148514851,7.574257425742574,14.554455445544555,0.8910891089108911,2.7920792079207923,8.168316831683168,1.7821782178217822,1.188118811881188,5.792079207920792
Jordan Archer,SCO,Portsmouth,31,1993,1.7,Goalkeeper,865.0,61.4,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0,0,0,5,9.61111111111111,6.388439306358381,0.0,0.0,0.0,0.0,0.0,0.0,0.10404624277456648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5202312138728324
Sinclair Armstrong,IRL,Bristol City,21,2003,7.3,Forward,963.0,74.4,0,2,2,52.6,9,1,52,102,1,16,57,1,8.0,2,2,2,12,10.7,6.953271028037384,0.0,0.1869158878504673,0.1869158878504673,4.91588785046729,0.8411214953271029,0.09345794392523366,4.85981308411215,9.532710280373832,0.09345794392523366,1.4953271028037385,5.327102803738318,0.09345794392523366,0.7476635514018692,0.1869158878504673,0.1869158878504673,0.1869158878504673,1.1214953271028039
Luke Ayling,ENG,Middlesbrough,33,1991,13.8,Defender,978.0,83.8,2,15,0,0.0,39,4,528,282,6,23,43,15,49.0,41,38,17,76,10.866666666666667,7.711656441717791,0.18404907975460122,1.3803680981595092,0.0,0.0,3.5889570552147236,0.36809815950920244,48.58895705521472,25.950920245398773,0.5521472392638036,2.116564417177914,3.957055214723926,1.3803680981595092,4.50920245398773,3.773006134969325,3.496932515337423,1.5644171779141103,6.993865030674846
