,player,nation_stats_standard,squad,position_stats_standard,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,value
0,Thelo Aasgaard,NOR,Wigan Athletic,Midfielder,22,2002,10.1,913.0,0.0,0.0,0.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,700000.0
1,Victor Adeboyejo,ENG,Bolton,Forward,26,1998,5.1,462.0,0.0,0.0,0.0,1.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,850000.0
2,Dan Agyei,ENG,Leyton Orient,Midfielder,27,1997,9.6,863.0,0.0,0.0,0.0,2.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,225000.0
3,Jack Aitchison,SCO,Exeter City,Midfielder,24,2000,8.1,1062.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,300000.0
4,David Ajiboye,ENG,P'borough Utd,Midfielder,26,1998,2.3,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,400000.0
5,Millenic Alli,IRL,Exeter City,Forward,24,2000,7.5,436.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,150000.0
6,Keshi Anderson,ENG,Birmingham City,Midfielder,29,1995,6.1,568.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,300000.0
7,Max Anderson,SCO,Crawley Town,Midfielder,23,2001,6.4,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,300000.0
9,Chuks Aneke,ENG,Charlton Ath,Forward,31,1993,2.5,837.0,0.0,0.0,0.0,1.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,200000.0
10,Scott Arfield,CAN,Bolton,Midfielder,35,1988,2.6,837.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,250000.0
11,Maleace Asamoah,ENG,Wigan Athletic,Forward,21,2002,0.2,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
12,Odin Bailey,ENG,Stockport,Midfielder,24,1999,1.7,637.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,350000.0
13,Jaiden Bartolo,GIB,Wycombe,Forward,18,2006,0.4,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
14,Tom Bayliss,ENG,Lincoln City,Midfielder,25,1999,6.4,641.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,325000.0
15,Jake Beesley,ENG,Blackpool,Midfielder,27,1996,2.4,574.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300000.0
16,Mason Bennett,ENG,Burton Albion,Midfielder,28,1996,2.3,871.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,375000.0
17,Luke Berry,ENG,Charlton Ath,Midfielder,32,1992,5.9,573.0,0.0,0.0,0.0,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,400000.0
18,Harrison Biggins,ENG,Shrewsbury,Midfielder,28,1996,1.1,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
19,Bryant Bilongo,ENG,Bristol Rovers,Midfielder,23,2001,7.2,534.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
20,Frazer Blake-Tracy,ENG,Mansfield Town,Midfielder,29,1995,2.4,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,200000.0
21,Tom Bloxham,ENG,Shrewsbury,Midfielder,21,2003,5.2,972.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,325000.0
22,Cameron Bragg,ENG,Crawley Town,Midfielder,19,2005,2.4,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
24,Chem Campbell,WAL,Reading,Forward,21,2002,5.3,971.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,900000.0
25,Mustapha Carayol,GAM,Exeter City,Midfielder,36,1988,1.1,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,75000.0
26,Sonny Carey,ENG,Blackpool,Midfielder,23,2001,2.7,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,900000.0
27,Dion Charles,NIR,Bolton,Forward,29,1995,7.6,711.0,0.0,0.0,0.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,750000.0
28,Sean Clare,ENG,Leyton Orient,Midfielder,28,1996,8.2,540.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,400000.0
