player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,90s_stats_shooting,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,90s_stats_misc,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Thelo Aasgaard,NOR,Wigan Athletic,22,2002,10.1,Not Available,Midfielder,10.1,3.0,27.0,9.0,33.3,2.66,0.89,10.1,12.0,913.0,10.1,1.0,4.0,8.0,7.0
Victor Adeboyejo,ENG,Bolton,26,1998,5.1,Not Available,Forward,5.1,1.0,8.0,3.0,37.5,1.56,0.58,5.1,11.0,462.0,5.1,2.0,4.0,3.0,1.0
Babajide Adeeko,IRL,Wigan Athletic,21,2003,6.9,Not Available,Midfielder,6.9,0.0,3.0,1.0,33.3,0.44,0.15,6.9,11.0,619.0,6.9,1.0,10.0,5.0,6.0
Dan Agyei,ENG,Leyton Orient,27,1997,9.6,Forward,Midfielder,9.6,2.0,15.0,4.0,26.7,1.56,0.42,9.6,12.0,863.0,9.6,6.0,18.0,0.0,1.0
Jack Aitchison,SCO,Exeter City,24,2000,8.1,Not Available,Midfielder,8.1,0.0,14.0,2.0,14.3,1.74,0.25,11.8,12.0,1062.0,8.1,1.0,16.0,5.0,3.0
David Ajiboye,ENG,P'borough Utd,26,1998,2.3,Defender,Midfielder,2.3,0.0,0.0,0.0,0.0,0.0,0.0,8.1,10.0,726.0,2.3,0.0,8.0,3.0,4.0
Nicholas Akoto,USA,Burton Albion,26,1998,4.8,Defender,Midfielder,4.8,0.0,3.0,1.0,33.3,0.62,0.21,4.9,6.0,437.0,4.8,3.0,8.0,1.0,11.0
Millenic Alli,IRL,Exeter City,24,2000,7.5,Midfielder,Forward,7.5,1.0,20.0,5.0,25.0,2.68,0.67,4.8,11.0,436.0,7.5,7.0,17.0,4.0,5.0
Keshi Anderson,ENG,Birmingham City,29,1995,6.1,Not Available,Midfielder,6.1,3.0,10.0,3.0,30.0,1.65,0.5,6.3,9.0,568.0,6.1,2.0,12.0,3.0,4.0
Max Anderson,SCO,Crawley Town,23,2001,6.4,Not Available,Midfielder,6.4,0.0,4.0,0.0,0.0,0.62,0.0,6.1,10.0,545.0,6.4,0.0,3.0,8.0,8.0
Danny Andrew,ENG,Cambridge Utd,33,1990,9.3,Midfielder,Defender,9.3,1.0,8.0,3.0,37.5,0.86,0.32,6.4,10.0,577.0,9.3,0.0,39.0,10.0,7.0
Chuks Aneke,ENG,Charlton Ath,31,1993,2.5,Midfielder,Forward,2.5,1.0,14.0,3.0,21.4,5.7,1.22,9.3,11.0,837.0,2.5,2.0,2.0,1.0,1.0
Scott Arfield,CAN,Bolton,35,1988,2.6,Not Available,Midfielder,2.6,0.0,5.0,2.0,40.0,1.89,0.76,9.3,12.0,837.0,2.6,0.0,4.0,1.0,1.0
Maleace Asamoah,ENG,Wigan Athletic,21,2002,0.2,Not Available,Forward,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,537.0,0.2,0.0,0.0,0.0,0.0
Odin Bailey,ENG,Stockport,24,1999,1.7,Not Available,Midfielder,1.7,0.0,5.0,2.0,40.0,2.9,1.16,7.1,10.0,637.0,1.7,0.0,4.0,1.0,5.0
Dominic Ballard,ENG,Blackpool,19,2005,4.9,Midfielder,Forward,4.9,1.0,14.0,7.0,50.0,2.83,1.42,8.8,10.0,795.0,4.9,1.0,2.0,1.0,1.0
Jaiden Bartolo,GIB,Wycombe,18,2006,0.4,Not Available,Forward,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.7,11.0,961.0,0.4,0.0,3.0,0.0,0.0
Daniel Barton,ENG,Cambridge Utd,19,2005,3.4,Forward,Midfielder,3.4,0.0,4.0,1.0,25.0,1.19,0.3,9.2,11.0,829.0,3.4,0.0,5.0,4.0,1.0
Tom Bayliss,ENG,Lincoln City,25,1999,6.4,Not Available,Midfielder,6.4,0.0,9.0,3.0,33.3,1.41,0.47,7.1,8.0,641.0,6.4,0.0,28.0,3.0,4.0
Jake Beesley,ENG,Blackpool,27,1996,2.4,Forward,Midfielder,2.4,1.0,4.0,2.0,50.0,1.69,0.85,6.4,9.0,574.0,2.4,0.0,1.0,3.0,3.0
Mason Bennett,ENG,Burton Albion,28,1996,2.3,Not Available,Midfielder,2.3,0.0,5.0,1.0,20.0,2.22,0.44,9.7,11.0,871.0,2.3,1.0,2.0,0.0,2.0
Luke Berry,ENG,Charlton Ath,32,1992,5.9,Not Available,Midfielder,5.9,4.0,14.0,8.0,57.1,2.36,1.35,6.4,8.0,573.0,5.9,1.0,15.0,3.0,4.0
Harrison Biggins,ENG,Shrewsbury,28,1996,1.1,Not Available,Midfielder,1.1,0.0,2.0,0.0,0.0,1.87,0.0,11.8,13.0,1062.0,1.1,0.0,1.0,1.0,1.0
Bryant Bilongo,ENG,Bristol Rovers,23,2001,7.2,Not Available,Midfielder,7.2,1.0,4.0,1.0,25.0,0.55,0.14,5.9,12.0,534.0,7.2,0.0,13.0,17.0,7.0
Frazer Blake-Tracy,ENG,Mansfield Town,29,1995,2.4,Defender,Midfielder,2.4,0.0,2.0,0.0,0.0,0.83,0.0,7.2,10.0,652.0,2.4,1.0,5.0,2.0,1.0
