player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,90s_stats_shooting,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,90s_stats_misc,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
George Abbott,ENG,Notts County,19,2005,7.5,Defender,Midfielder,7.5,0.0,8.0,1.0,12.5,1.06,0.13,7.5,9.0,679.0,7.5,0.0,6.0,9.0,9.0
Emile Acquah,ENG,Barrow,24,2000,5.4,Midfielder,Forward,5.4,2.0,13.0,4.0,30.8,2.43,0.75,5.4,11.0,482.0,5.4,0.0,2.0,0.0,3.0
Botan Ameen,IRQ,Swindon Town,17,2007,0.2,Not Available,Forward,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1080.0,0.2,0.0,0.0,0.0,0.0
Cameron Antwi,ENG,Newport County,23,2001,7.7,Not Available,Midfielder,7.7,0.0,3.0,1.0,33.3,0.39,0.13,7.9,8.0,714.0,7.7,0.0,2.0,2.0,10.0
Luke Armstrong,ENG,Carlisle United,28,1996,6.9,Not Available,Forward,6.9,2.0,11.0,6.0,54.5,1.6,0.87,7.7,12.0,692.0,6.9,5.0,6.0,3.0,3.0
Jude Arthurs,ENG,Bromley,23,2001,5.4,Not Available,Midfielder,5.4,0.0,5.0,0.0,0.0,0.92,0.0,5.3,9.0,480.0,5.4,0.0,19.0,5.0,9.0
Zico Asare,ENG,Harrogate,23,2001,4.0,Defender,Midfielder,4.0,0.0,3.0,1.0,33.3,0.75,0.25,10.0,13.0,904.0,4.0,0.0,4.0,4.0,2.0
Ossama Ashley,ENG,Salford City,23,2000,7.7,Not Available,Midfielder,7.7,0.0,6.0,2.0,33.3,0.77,0.26,5.4,8.0,487.0,7.7,0.0,2.0,11.0,7.0
Owen Bailey,ENG,Doncaster,25,1999,12.9,Defender,Midfielder,12.9,1.0,14.0,2.0,14.3,1.08,0.15,6.7,10.0,600.0,12.9,0.0,8.0,15.0,12.0
Courtney Baker-Richardson,ENG,Newport County,28,1995,9.0,Not Available,Forward,9.0,3.0,16.0,3.0,18.8,1.78,0.33,12.9,13.0,1162.0,9.0,5.0,3.0,4.0,4.0
Jimmy Ball,ENG,AFC Wimbledon,28,1995,6.0,Defender,Midfielder,6.0,1.0,5.0,1.0,20.0,0.83,0.17,8.0,8.0,720.0,6.0,0.0,0.0,11.0,3.0
Ollie Banks,ENG,Chesterfield,32,1992,8.6,Not Available,Midfielder,8.6,0.0,12.0,2.0,16.7,1.39,0.23,9.0,13.0,808.0,8.6,1.0,26.0,7.0,11.0
Connor Barratt,IRL,Walsall,20,2004,11.1,Not Available,Midfielder,11.1,0.0,8.0,4.0,50.0,0.72,0.36,8.6,12.0,777.0,11.1,0.0,31.0,8.0,16.0
Luca Barrington,ENG,Grimsby Town,19,2004,8.0,Not Available,Midfielder,8.0,3.0,6.0,4.0,66.7,0.75,0.5,5.9,9.0,528.0,8.0,1.0,19.0,6.0,12.0
