player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90,value
Brenden Aaronson,USA,Leeds United,24,Midfielder,1452.0,16.133333333333333,4.958677685950414,0.0619834710743801,1.2396694214876034,0.2479338842975206,1.5867768595041325,3.9669421487603302,0.3099173553719008,22.1900826446281,25.59917355371901,1.6735537190082646,1.9834710743801651,6.880165289256198,0.9917355371900828,1.7913223140495866,2.293388429752066,1.797520661157025,0.1239669421487603,3.65702479338843,11000000.0
Elijah Adebayo,ENG,Luton Town,26,Forward,1477.0,16.41111111111111,4.4177386594448205,0.0,0.3656059580230196,0.2437373053486797,2.821259309410968,1.767095463777928,0.1828029790115098,6.032498307379824,14.441435341909274,0.7921462423832092,0.974949221394719,4.021665538253216,0.0,2.5470548408937037,0.3046716316858497,0.4874746106973595,0.2437373053486797,2.132701421800948,11000000.0
Enock Agyei,BEL,Burnley,19,Forward,1354.0,15.044444444444444,5.045051698670606,0.0,0.1329394387001477,0.0,0.0,0.0664697193500738,0.0,1.1299852289512555,1.4623338257016247,0.1329394387001477,0.5317577548005908,0.7976366322008863,0.0664697193500738,1.6617429837518465,0.1994091580502215,0.2658788774002954,0.0,0.1329394387001477,800000.0
Milan Aleksić,SRB,Sunderland,19,Midfielder,1060.0,11.77777777777778,5.663207547169812,0.0,0.0,0.0,8.490566037735848,0.0,0.0,0.5943396226415094,0.1698113207547169,0.0,0.1698113207547169,0.0849056603773584,0.0,0.0,0.0,0.0,0.0849056603773584,0.2547169811320754,0.0
Jamie Allen,ENG,Coventry City,29,Midfielder,475.0,5.277777777777778,16.2,0.0,0.1894736842105263,0.0,0.0,0.3789473684210526,0.0,7.768421052631579,2.463157894736842,0.0,0.0,0.3789473684210526,0.1894736842105263,9.473684210526317,0.0,0.5684210526315789,0.0,0.9473684210526316,1000000.0
Steven Alzate,COL,Hull City,26,Midfielder,1260.0,14.0,6.7,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,1.4285714285714286,0.7142857142857143,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.2857142857142857,4000000.0
Lucas Andersen,DEN,QPR,30,Midfielder,557.0,6.188888888888889,11.34290843806104,0.0,1.4542190305206462,0.1615798922800718,4.621184919210054,4.524236983842011,0.1615798922800718,20.035906642728904,33.447037701974864,0.8078994614003591,2.1005385996409336,8.402154398563734,1.2926391382405744,12.118491921005386,8.563734290843806,2.585278276481149,0.9694793536804308,4.039497307001795,500000.0
Sinclair Armstrong,IRL,Bristol City,21,Forward,1323.0,14.7,5.013605442176871,0.0,0.1360544217687075,0.2040816326530612,4.020408163265307,0.6802721088435374,0.0680272108843537,3.673469387755102,8.027210884353742,0.0680272108843537,1.2244897959183674,4.285714285714286,0.0680272108843537,0.4693877551020408,0.1360544217687075,0.1360544217687075,0.1360544217687075,0.8163265306122449,2200000.0
Femi Azeez,ENG,Millwall,23,Forward,732.0,8.133333333333333,6.319672131147541,0.2459016393442623,1.475409836065574,0.1229508196721311,5.790983606557377,2.0901639344262297,0.2459016393442623,13.032786885245905,18.56557377049181,0.4918032786885246,3.8114754098360657,6.39344262295082,0.6147540983606558,4.967213114754099,4.180327868852459,2.0901639344262297,0.3688524590163934,4.180327868852459,900000.0
Lewis Baker,ENG,Blackburn,29,Forward,1406.0,15.622222222222222,5.242532005689901,0.0,0.0,0.0640113798008534,2.5604551920341394,0.1920341394025604,0.0,4.416785206258891,1.7923186344238975,0.0640113798008534,0.3840682788051209,0.3840682788051209,0.1280227596017069,4.269559032716928,0.1920341394025604,0.2560455192034139,0.2560455192034139,0.9601706970128024,1800000.0
Patrick Bamford,ENG,Leeds United,31,Forward,634.0,7.044444444444444,8.219242902208203,0.0,0.0,0.0,0.0,0.1419558359621451,0.0,2.555205047318612,2.8391167192429023,0.1419558359621451,0.1419558359621451,1.277602523659306,0.0,8.517350157728707,0.4258675078864353,0.0,0.2839116719242902,0.2839116719242902,4000000.0
Shandon Baptiste,GRN,Luton Town,26,Midfielder,770.0,8.555555555555555,9.14025974025974,0.0,1.2857142857142858,0.0,2.9220779220779223,2.571428571428572,0.1168831168831168,21.272727272727277,13.558441558441558,0.3506493506493506,0.7012987012987013,1.6363636363636365,0.4675324675324675,5.8441558441558445,3.272727272727273,1.1688311688311688,1.4025974025974026,4.090909090909091,2500000.0
Tom Barkhuizen,ENG,Derby County,31,Forward,1272.0,14.133333333333333,5.066037735849056,0.0,0.1415094339622641,0.0,3.537735849056604,0.4245283018867924,0.070754716981132,2.2641509433962264,3.962264150943396,0.1415094339622641,0.3537735849056604,1.0613207547169812,0.0,5.051886792452831,0.2830188679245283,0.2122641509433962,0.1415094339622641,0.919811320754717,450000.0
