player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Brenden Aaronson,USA,Leeds United,24,2000,13.7,,Midfielder,4,33,8,24.2,2.41,0.58,407,507,80.3,235,274,85.8,127,150,84.7,15,29,51.7,1,28,17,56,7,0,30,407,13,54,4,26,13,9,14,3,11,0,11,1,3,0,689,310,328,61,49,24,49.0,430,25,22,14,33,52,513,90,13.7,16,1234,3,30,1,13,54,11,22,33.3
Azeem Abdulai,SCO,Swansea City,21,2002,3.5,Midfielder,Forward,1,2,1,50.0,0.58,0.29,82,119,68.9,50,62,80.6,23,33,69.7,8,14,57.1,0,2,4,10,0,1,15,82,5,4,0,6,4,1,3,2,3,0,3,2,3,0,162,49,98,11,9,7,77.8,109,7,8,1,14,4,119,46,0,0,0,0,15,2,4,10,6,17,26.1
Ebou Adams,GAM,Derby County,28,1996,14.4,,Midfielder,1,22,2,9.1,1.53,0.14,276,387,71.3,104,136,76.5,129,166,77.7,36,59,61.0,0,28,4,30,0,5,9,276,12,13,1,68,43,21,39,8,24,4,20,24,28,0,592,337,121,27,16,8,50.0,214,8,7,2,21,13,250,16,3.5,11,311,0,9,24,43,75,30,10,75.0
Elijah Adebayo,ENG,Luton Town,26,1998,12.9,,Forward,2,31,14,45.2,2.40,1.08,95,134,70.9,62,76,81.6,29,38,76.3,1,2,50.0,0,4,5,11,0,0,3,95,7,22,0,7,6,4,0,3,17,4,13,4,17,0,316,84,200,74,37,11,29.7,182,12,13,12,39,22,206,57,14.4,16,1297,14,3,4,6,28,29,43,40.3
Enock Agyei,BEL,Burnley,19,2005,0.6,Midfielder,Forward,0,2,0,0.0,3.10,0.00,22,29,75.9,11,11,100.0,8,11,72.7,2,4,50.0,0,3,2,5,1,1,3,22,1,1,0,4,0,3,1,0,1,0,1,0,0,0,44,17,22,4,5,2,40.0,28,8,3,3,2,1,31,12,12.9,16,1164,0,3,0,0,2,1,3,25.0
Anel Ahmedhodžić,BIH,Sheffield Utd,25,1999,13.5,,Defender,0,3,0,0.0,0.22,0.00,706,764,92.4,270,280,96.4,382,397,96.2,48,78,61.5,1,35,1,37,0,0,3,706,2,5,0,18,13,11,7,0,7,5,2,12,55,0,882,372,35,5,8,3,37.5,531,17,12,2,9,5,647,2,0.6,3,58,0,3,12,13,50,18,15,54.5
Semi Ajayi,NGA,West Brom,31,1993,11.8,,Defender,0,3,1,33.3,0.25,0.08,617,721,85.6,169,195,86.7,381,409,93.2,64,101,63.4,0,56,1,45,1,6,1,617,5,8,0,10,4,7,3,0,5,3,2,10,39,0,801,389,27,7,2,1,50.0,475,7,9,0,5,4,579,1,13.5,14,1212,0,1,10,4,35,27,17,61.4
Milan Aleksić,SRB,Sunderland,19,2005,0.4,,Midfielder,0,1,1,100.0,2.73,2.73,4,6,66.7,3,3,100.0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,7,2,1,2,0,0.0,9,2,0,1,2,1,9,1,11.8,12,1060,0,0,1,0,3,0,0,0
Ajibola Alese,ENG,Sunderland,23,2001,4.3,,Defender,0,1,1,100.0,0.23,0.23,154,180,85.6,52,55,94.5,81,86,94.2,20,34,58.8,0,10,2,10,0,0,2,154,2,3,0,2,0,2,0,0,6,3,3,3,19,0,211,86,21,4,1,1,100.0,103,1,1,1,0,2,132,4,0.4,1,33,0,2,3,0,9,4,4,50.0
Jamie Allen,ENG,Coventry City,29,1995,1.4,,Midfielder,0,1,0,0.0,0.71,0.00,47,55,85.5,13,15,86.7,27,29,93.1,6,10,60.0,0,10,1,4,0,1,0,47,0,2,0,3,2,2,1,0,4,1,3,0,3,0,70,41,13,0,0,0,0,32,0,1,0,3,0,48,2,4.3,5,383,0,0,0,2,5,1,1,50.0
