player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Brenden Aaronson,USA,Leeds United,24,2000,16.1,,Midfielder,4,39,10,25.6,2.42,0.62,493,616,80.0,293,341,85.9,149,178,83.7,18,34,52.9,1,33,20,64,7,0,37,493,17,64,5,29,14,10,16,3,14,0,14,2,3,0,827,358,413,73,58,27,46.6,523,32,30,18,37,61,625,111,16.1,19,1452,3,37,2,14,59,11,27,28.9
Azeem Abdulai,SCO,Swansea City,22,2002,3.8,Midfielder,Forward,1,2,1,50.0,0.53,0.27,91,132,68.9,56,69,81.2,26,36,72.2,8,15,53.3,0,2,4,10,0,1,17,91,7,4,0,8,4,2,3,3,4,0,4,2,3,0,183,57,107,13,11,8,72.7,119,7,8,1,17,4,132,49,0,0,0,0,17,2,4,12,6,18,25.0
Ebou Adams,GAM,Derby County,28,1996,16.4,,Midfielder,2,26,3,11.5,1.58,0.18,320,448,71.4,124,161,77.0,149,192,77.6,39,65,60.0,0,34,6,39,0,5,9,320,13,19,1,75,49,24,43,8,28,6,22,27,30,0,682,401,140,32,17,9,52.9,255,8,9,2,27,13,290,17,3.8,14,339,0,9,27,49,86,33,12,73.3
Elijah Adebayo,ENG,Luton Town,26,1998,15.0,,Forward,4,41,19,46.3,2.73,1.26,116,160,72.5,75,91,82.4,33,44,75.0,2,3,66.7,0,5,6,12,0,0,5,116,7,29,3,8,7,5,0,3,19,4,15,4,21,0,373,99,237,90,45,13,28.9,220,16,15,13,44,26,244,66,16.4,18,1477,14,5,4,7,35,33,46,41.8
Enock Agyei,BEL,Burnley,19,2005,0.6,Midfielder,Forward,0,2,0,0.0,3.10,0.00,22,29,75.9,11,11,100.0,8,11,72.7,2,4,50.0,0,3,2,5,1,1,3,22,1,1,0,4,0,3,1,0,1,0,1,0,0,0,44,17,22,4,5,2,40.0,28,8,3,3,2,1,31,12,15.0,19,1354,0,3,0,0,2,1,3,25.0
Anel Ahmedhodžić,BIH,Sheffield Utd,25,1999,13.5,,Defender,0,3,0,0.0,0.22,0.00,706,764,92.4,270,280,96.4,382,397,96.2,48,78,61.5,1,35,1,37,0,0,3,706,2,5,0,18,13,11,7,0,7,5,2,12,55,0,882,372,35,5,8,3,37.5,531,17,12,2,9,5,647,2,0.6,3,58,0,3,12,13,50,18,15,54.5
Semi Ajayi,NGA,West Brom,31,1993,11.8,,Defender,0,3,1,33.3,0.25,0.08,617,721,85.6,169,195,86.7,381,409,93.2,64,101,63.4,0,56,1,45,1,6,1,617,5,8,0,10,4,7,3,0,5,3,2,10,39,0,801,389,27,7,2,1,50.0,475,7,9,0,5,4,579,1,13.5,14,1212,0,1,10,4,35,27,17,61.4
Milan Aleksić,SRB,Sunderland,19,2005,0.4,,Midfielder,0,1,1,100.0,2.73,2.73,4,6,66.7,3,3,100.0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,7,2,1,2,0,0.0,9,2,0,1,2,1,9,1,11.8,12,1060,0,0,1,0,3,0,0,0
Ajibola Alese,ENG,Sunderland,23,2001,5.3,,Defender,0,2,1,50.0,0.38,0.19,196,236,83.1,69,74,93.2,100,110,90.9,23,41,56.1,0,16,4,18,0,0,6,196,5,4,0,8,3,5,2,1,8,3,5,3,23,0,287,109,44,8,1,0,0.0,131,1,1,1,2,3,164,10,0.4,1,33,1,6,3,3,16,4,6,40.0
Jamie Allen,ENG,Coventry City,29,1995,1.4,,Midfielder,0,1,0,0.0,0.71,0.00,47,55,85.5,13,15,86.7,27,29,93.1,6,10,60.0,0,10,1,4,0,1,0,47,0,2,0,3,2,2,1,0,4,1,3,0,3,0,70,41,13,0,0,0,0,32,0,1,0,3,0,48,2,5.3,7,475,0,0,0,2,5,1,1,50.0
