player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Thelo Aasgaard,NOR,Wigan Athletic,22,2002,13.9,,Midfielder,5,42,18,42.9,3.02,1.29,13.9,16,1253,1,6,11,9
Ken Aboh,ENG,Stevenage,20,2004,0.5,,Midfielder,0,2,1,50.0,3.83,1.91,0.5,2,47,0,0,0,0
Kelvin Abrefa,ENG,Reading,20,2003,2.9,,Defender,0,2,0,0.0,0.69,0.00,2.9,9,259,0,2,4,6
Tayo Adaramola,IRL,Stockport,21,2003,2.7,Midfielder,Defender,0,2,2,100.0,0.74,0.74,2.7,5,242,0,9,0,7
Corey Addai,JAM,Stockport,27,1997,13.5,,Goalkeeper,0,0,0,0,0.00,0.00,13.5,14,1215,0,0,0,0
Victor Adeboyejo,ENG,Bolton,26,1998,7.7,,Forward,2,13,6,46.2,1.69,0.78,7.7,16,691,4,4,3,1
Babajide Adeeko,IRL,Wigan Athletic,21,2003,7.9,,Midfielder,0,3,1,33.3,0.38,0.13,7.9,12,709,1,10,6,7
Ade Adeyemo,ENG,Crawley Town,26,1998,4.0,Forward,Midfielder,1,9,4,44.4,2.24,0.99,4.0,11,362,0,10,1,3
Dan Agyei,ENG,Leyton Orient,27,1997,13.1,Forward,Midfielder,2,18,5,27.8,1.38,0.38,13.1,16,1176,8,24,0,2
Ashqar Ahmed,,Reading,0,0,0.3,,Defender,0,0,0,0,0.00,0.00,0.3,2,28,0,1,0,0
Will Aimson,ENG,Wigan Athletic,28,1995,15.8,,Defender,0,5,2,40.0,0.32,0.13,15.8,16,1422,0,0,20,20
Jack Aitchison,SCO,Exeter City,24,2000,12.5,,Midfielder,0,19,3,15.8,1.51,0.24,12.5,15,1129,2,22,12,6
David Ajiboye,ENG,P'borough Utd,26,1998,2.3,Defender,Midfielder,0,0,0,0,0.00,0.00,2.3,6,208,0,8,3,4
Adrian Akande,NGA,Reading,21,2003,4.3,,Forward,0,4,1,25.0,0.93,0.23,4.3,10,388,5,13,2,2
Lucas Akins,GRN,Mansfield Town,35,1989,7.3,Defender,Forward,0,3,2,66.7,0.41,0.27,7.3,10,656,2,10,10,9
Nicholas Akoto,USA,Burton Albion,26,1998,5.1,Defender,Midfielder,0,4,1,25.0,0.79,0.20,5.1,12,457,3,9,1,11
Millenic Alli,IRL,Exeter City,24,2000,10.0,Midfielder,Forward,1,21,6,28.6,2.10,0.60,10.0,14,902,8,20,5,9
Ryan Allsop,ENG,Birmingham City,32,1992,8.0,,Goalkeeper,0,0,0,0,0.00,0.00,8.0,8,720,0,0,0,0
Karoy Anderson,JAM,Charlton Ath,20,2004,8.3,,Midfielder,0,5,2,40.0,0.60,0.24,8.3,12,751,2,7,5,11
Keshi Anderson,ENG,Birmingham City,29,1995,9.1,,Midfielder,3,20,5,25.0,2.20,0.55,9.1,14,819,6,23,4,9
Max Anderson,SCO,Crawley Town,23,2001,10.7,,Midfielder,1,7,2,28.6,0.65,0.19,10.7,15,962,0,5,12,15
Danny Andrew,ENG,Cambridge Utd,33,1990,13.3,,Defender,1,11,4,36.4,0.83,0.30,13.3,15,1197,0,63,16,9
Chuks Aneke,ENG,Charlton Ath,31,1993,2.5,Midfielder,Forward,1,14,3,21.4,5.70,1.22,2.5,9,221,2,2,1,1
