player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
George Abbott,ENG,Notts County,19,2005,11.5,,Midfielder,0,17,4,23.5,1.47,0.35
Emile Acquah,ENG,Barrow,24,2000,5.4,Midfielder,Forward,2,13,4,30.8,2.42,0.75
Joe Adams,ENG,Bradford City,20,2004,0.2,,Midfielder,0,0,0,0,0.00,0.00
Hakeeb Adelakun,ENG,Salford City,28,1996,1.7,,Forward,2,8,4,50.0,4.71,2.35
Albert Adomah,GHA,Walsall,36,1987,3.4,Forward,Defender,2,8,2,25.0,2.33,0.58
Daniel Adu-Adjei,ENG,Carlisle United,19,2005,6.6,,Forward,2,14,6,42.9,2.12,0.91
Calum Agius,WAL,Crewe Alexandra,19,2005,0.2,,Forward,0,0,0,0,0.00,0.00
Callum Ainley,ENG,Grimsby Town,27,1997,4.8,,Midfielder,0,8,2,25.0,1.65,0.41
Kyle Alex John,ENG,Port Vale,23,2001,7.8,Midfielder,Defender,0,2,0,0.0,0.26,0.00
Sonny Aljofree,ENG,Acc'ton Stanley,19,2004,8.0,,Defender,1,2,2,100.0,0.25,0.25
Taylor Allen,ENG,Walsall,24,2000,16.0,,Defender,3,12,7,58.3,0.75,0.44
Levi Amantchi,ENG,Bromley,24,2000,3.1,,Forward,0,6,1,16.7,1.94,0.32
Botan Ameen,IRQ,Swindon Town,17,2007,0.2,,Forward,0,0,0,0,0.00,0.00
Harry Anderson,ENG,Colchester Utd,27,1997,5.3,,Midfielder,1,9,4,44.4,1.69,0.75
Tom Anderson,ENG,Doncaster,31,1993,7.9,,Defender,1,4,1,25.0,0.50,0.13
Josh Andrews,ENG,Gillingham,23,2001,0.8,,Forward,0,2,0,0.0,2.40,0.00
Lee Angol,ENG,Morecambe,30,1994,3.5,,Forward,1,3,2,66.7,0.86,0.57
Cameron Antwi,ENG,Newport County,23,2001,8.4,,Midfielder,0,5,1,20.0,0.60,0.12
Harvey Araujo,,Chesterfield,0,0,6.5,,Defender,0,3,1,33.3,0.46,0.15
Ethon Archer,ENG,Cheltenham,22,2002,14.0,,Midfielder,4,15,7,46.7,1.07,0.50
Luke Armstrong,ENG,Carlisle United,28,1996,8.7,Midfielder,Forward,2,11,6,54.5,1.26,0.69
Jude Arthurs,ENG,Bromley,23,2001,8.2,,Midfielder,0,5,0,0.0,0.61,0.00
Zico Asare,ENG,Harrogate,23,2001,7.9,Midfielder,Defender,0,3,1,33.3,0.38,0.13
Luca Ashby-Hammond,ENG,Gillingham,23,2001,0.2,,Goalkeeper,0,0,0,0,0.00,0.00
Ossama Ashley,ENG,Salford City,23,2000,11.4,,Midfielder,0,9,3,33.3,0.79,0.26
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Joshua Austerfield,ENG,Salford City,23,2001,11.3,Defender,Midfielder,0,6,0,0.0,0.53,0.00
Sam Austin,ENG,Notts County,27,1996,9.5,,Midfielder,0,6,5,83.3,0.63,0.53
Sebastian Auton,,Grimsby Town,0,0,0.8,,Goalkeeper,0,0,0,0,0.00,0.00
Zach Awe,ENG,Acc'ton Stanley,20,2004,16.0,,Defender,1,4,1,25.0,0.25,0.06
Owen Bailey,ENG,Doncaster,25,1999,16.9,Defender,Midfielder,1,21,3,14.3,1.24,0.18
Ibrahim Bakare,ENG,Cheltenham,22,2002,6.4,,Defender,0,3,1,33.3,0.47,0.16
Matthew Baker,WAL,Newport County,21,2003,12.0,,Defender,3,5,3,60.0,0.42,0.25
Courtney Baker-Richardson,ENG,Newport County,28,1995,10.0,,Forward,3,18,3,16.7,1.81,0.30
Aden Baldwin,ENG,Bradford City,27,1997,3.1,,Defender,0,1,0,0.0,0.32,0.00
Jimmy Ball,ENG,AFC Wimbledon,28,1995,10.6,Midfielder,Defender,1,9,4,44.4,0.85,0.38
Ollie Banks,ENG,Chesterfield,32,1992,10.8,,Midfielder,0,17,2,11.8,1.57,0.18
Ben Barclay,ENG,Carlisle United,28,1996,7.6,Midfielder,Defender,1,12,5,41.7,1.58,0.66
Daniel Barden,WAL,Swindon Town,23,2001,5.0,,Goalkeeper,0,0,0,0,0.00,0.00
Connor Barratt,IRL,Walsall,20,2004,14.8,,Midfielder,0,12,4,33.3,0.81,0.27
Luca Barrington,ENG,Grimsby Town,19,2004,11.3,,Midfielder,3,12,6,50.0,1.06,0.53
Alex Bass,ENG,Notts County,26,1998,17.0,,Goalkeeper,0,0,0,0,0.00,0.00
Jake Batty,ENG,Acc'ton Stanley,19,2005,7.5,Defender,Midfielder,0,5,2,40.0,0.66,0.27
Jacob Bedeau,GRN,Notts County,24,1999,15.4,,Defender,0,3,0,0.0,0.20,0.00
James Belshaw,ENG,Harrogate,34,1990,16.4,,Goalkeeper,0,0,0,0,0.00,0.00
Jay Benn,ENG,Bradford City,23,2001,6.3,Defender,Midfielder,0,3,0,0.0,0.48,0.00
Rhys Bennett,ENG,Fleetwood Town,21,2003,4.3,,Defender,0,1,0,0.0,0.23,0.00
Scot Bennett,ENG,Cheltenham,33,1990,14.2,Midfielder,Defender,0,2,1,50.0,0.14,0.07
Kevin Berkoe,ENG,Salford City,23,2001,0.1,,Defender,0,0,0,0,0.00,0.00
James Berry,ENG,Chesterfield,23,2000,9.4,,Midfielder,7,25,13,52.0,2.66,1.38
Harrison Biggins,ENG,Carlisle United,28,1996,10.2,,Midfielder,0,15,1,6.7,1.48,0.10
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Huseyin Biler,ENG,AFC Wimbledon,22,2002,0.7,,Defender,0,2,0,0.0,2.73,0.00
Lewis Billington,ENG,Crewe Alexandra,20,2004,2.4,Defender,Midfielder,0,0,0,0,0.00,0.00
Teddy Bishop,ENG,Colchester Utd,28,1996,5.8,,Midfielder,0,12,5,41.7,2.08,0.87
Benicio Boaitey,ENG,Port Vale,20,2004,3.8,,Midfielder,0,7,1,14.3,1.82,0.26
Omar Bogle,ENG,Crewe Alexandra,31,1993,3.4,,Forward,1,7,2,28.6,2.05,0.58
James Bolton,ENG,Fleetwood Town,30,1994,5.8,,Defender,0,4,0,0.0,0.69,0.00
Elliott Bonds,GUY,Fleetwood Town,24,2000,11.3,,Midfielder,0,11,0,0.0,0.97,0.00
Geoffroy Bony,WAL,Newport County,19,2004,0.1,,Forward,0,0,0,0,0.00,0.00
Ryan Boot,ENG,Chesterfield,30,1994,12.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ryan Bowman,ENG,Cheltenham,32,1991,7.8,,Forward,2,13,5,38.5,1.66,0.64
Tom Bradbury,ENG,Cheltenham,26,1998,13.0,,Defender,1,5,2,40.0,0.38,0.15
Zak Bradshaw,ENG,Tranmere Rovers,21,2003,5.7,Defender,Midfielder,0,5,1,20.0,0.88,0.18
Kian Breckin,ENG,Crewe Alexandra,20,2003,3.4,,Midfielder,0,3,0,0.0,0.88,0.00
Gabriel Breeze,ENG,Carlisle United,20,2003,3.0,,Goalkeeper,0,0,0,0,0.00,0.00
Ciaran Brennan,IRL,Newport County,24,2000,12.6,,Defender,0,2,1,50.0,0.16,0.08
George Broadbent,ENG,Doncaster,24,2000,6.0,,Midfielder,0,2,0,0.0,0.33,0.00
Ryan Broom,WAL,Fleetwood Town,28,1996,2.5,,Forward,0,0,0,0,0.00,0.00
Charlie Brown,ENG,Morecambe,25,1999,0.4,,Forward,0,0,0,0,0.00,0.00
Jaxon Brown,,Swindon Town,0,0,0.3,,Midfielder,0,1,0,0.0,3.21,0.00
Jevani Brown,JAM,Notts County,30,1994,5.3,,Midfielder,0,11,4,36.4,2.09,0.76
Omar Bugiel,LIB,AFC Wimbledon,30,1994,12.9,,Forward,3,26,9,34.6,2.02,0.70
Tyler Burey,ENG,Carlisle United,23,2001,3.4,,Midfielder,0,3,0,0.0,0.89,0.00
Harry Burgoyne,ENG,Morecambe,27,1996,2.2,,Goalkeeper,0,0,0,0,0.00,0.00
Warren Burrell,ENG,Harrogate,34,1990,4.7,,Midfielder,0,1,1,100.0,0.21,0.21
Daniel Butterworth,ENG,Carlisle United,25,1999,0.5,Midfielder,Forward,0,2,1,50.0,4.09,2.05
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Daniel Butterworth,ENG,Swindon Town,25,1999,11.3,Forward,Midfielder,2,24,4,16.7,2.12,0.35
Jack Bycroft,ENG,Swindon Town,23,2001,12.0,,Goalkeeper,0,0,0,0,0.00,0.00
